Publication title,Link,Abstract,Date,Author information
comparing spatial and spectral graph filtering for preprocessing neurophysiological signals,https://pureportal.coventry.ac.uk/en/publications/comparing-spatial-and-spectral-graph-filtering-for-preprocessing-,Signals measured with multiple sensors simultaneously in time form multivariate signals and are commonly acquired in biomedical imaging...,29 Dec 2023,"['S. Goerttler, https://pureportal.coventry.ac.uk/en/persons/stephan-goerttler', 'F. He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
contextualised segment-wise citation function classification,https://pureportal.coventry.ac.uk/en/publications/contextualised-segment-wise-citation-function-classification,"Much effort has been made in the past decades to citation function classification, but noteworthy issues exist...",12 Jul 2023,"['Xiaorui Jiang, https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang']"
continuous human activity recognition using radar imagery and dynamic time warping,https://pureportal.coventry.ac.uk/en/publications/continuous-human-activity-recognition-using-radar-imagery-and-dyn,"Remote Human Activity Recognition (HAR) in a private residential area has a beneficial influence on the elderly population's life, since this group of people require regular monitoring of health conditions...",23 Mar 2023,"['Ruchita Mehta, https://pureportal.coventry.ac.uk/en/persons/ruchita-mehta', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
cross-frequency multilayer network analysis with bispectrum-based functional connectivity: a study of alzheimer's disease,https://pureportal.coventry.ac.uk/en/publications/cross-frequency-multilayer-network-analysis-with-bispectrum-based,Alzheimer's disease (AD) is a neurodegenerative disorder known to affect functional connectivity (FC) across many brain regions...,29 Apr 2023,"['Dominik Klepl, https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
cyber-physical advances in sles: ​resource pack for school workshop participants,https://pureportal.coventry.ac.uk/en/publications/cyber-physical-advances-in-sles-resource-pack-for-school-workshop,not available,23 Mar 2023,"['Charlie Ingram, https://pureportal.coventry.ac.uk/en/persons/charlie-ingram', 'Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura', 'Ingram, C., https://pureportal.coventry.ac.uk/en/persons/charlie-ingram']"
data augmentation for mathematical objects,https://pureportal.coventry.ac.uk/en/publications/data-augmentation-for-mathematical-objects,"This paper discusses and evaluates ideas of data balancing and data augmentation in the context of mathematical objects: an important topic for both the symbolic computation and satisfiability checking communities, when they are making use of machine learning techniques to optimise their tools...",15 Aug 2023,"['Tereso del Río, https://pureportal.coventry.ac.uk/en/persons/tereso-del-r%C3%ADo-almajano', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
deep learning techniques for radar-based continuous human activity recognition,https://pureportal.coventry.ac.uk/en/publications/deep-learning-techniques-for-radar-based-continuous-human-activit,Human capability to perform routine tasks declines with age and age-related problems...,14 Oct 2023,"['Ruchita Mehta, https://pureportal.coventry.ac.uk/en/persons/ruchita-mehta', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
diabetic retinopathy detection using transfer and reinforcement learning with effective image preprocessing and data augmentation techniques,https://pureportal.coventry.ac.uk/en/publications/diabetic-retinopathy-detection-using-transfer-and-reinforcement-l,"Diabetic retinopathy is the consequence of advanced stages of diabetes, which can ultimately lead to permanent blindness...",7 Feb 2023,"['Maria Tariq, https://pureportal.coventry.ac.uk/en/persons/maria-tariq', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
eeg signal processing techniques and applications,https://pureportal.coventry.ac.uk/en/publications/eeg-signal-processing-techniques-and-applications,not available,9 Nov 2023,"['Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
effective natural language processing algorithms for gout flare early alert from chief complaints,https://pureportal.coventry.ac.uk/en/publications/effective-natural-language-processing-algorithms-for-gout-flare-e,"In this study, we extend the exploration of gout flare detection initiated by Osborne, J...",Nov 2023,"['Xiaorui Jiang, https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
entropy‐based lamarckian quantum‐behaved particle swarm optimization for flexible ligand docking,https://pureportal.coventry.ac.uk/en/publications/entropybased-lamarckian-quantumbehaved-particle-swarm-optimizatio,AutoDock is a widely used software for flexible ligand docking problems since it is open source and easy to be implemented...,31 Jan 2023,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
explainable ai insights for symbolic computation: a case study on selecting the variable ordering for cylindrical algebraic decomposition,https://pureportal.coventry.ac.uk/en/publications/explainable-ai-insights-for-symbolic-computation-a-case-study-on-,"In recent years there has been increased use of machine learning (ML) techniques within mathematics, including symbolic computation where it may be applied safely to optimise or select algorithms...",15 Nov 2023,"['Tereso del Río, https://pureportal.coventry.ac.uk/en/persons/tereso-del-r%C3%ADo-almajano', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
extracting the evolutionary backbone of scientific domains: the semantic main path network analysis approach based on citation context analysis,https://pureportal.coventry.ac.uk/en/publications/extracting-the-evolutionary-backbone-of-scientific-domains-the-se,Main path analysis is a popular method for extracting the scientific backbone from the citation network of a research domain...,21 Mar 2023,"['Xiaorui Jiang, https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang']"
fp-conv-cm: fuzzy probabilistic convolution c-means,https://pureportal.coventry.ac.uk/en/publications/fp-conv-cm-fuzzy-probabilistic-convolution-c-means,Soft computing models based on fuzzy or probabilistic approaches provide decision system makers with the necessary capabilities to deal with imprecise and incomplete information...,19 Apr 2023,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
generating elementary integrable expressions,https://pureportal.coventry.ac.uk/en/publications/generating-elementary-integrable-expressions,"There has been an increasing number of applications of machine learning to the field of Computer Algebra in recent years, including to the prominent sub-field of Symbolic Integration...",26 Sept 2023,"['Rashid Barket, https://pureportal.coventry.ac.uk/en/persons/rashid-barket', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
generative ai for brain imaging and brain network construction: generative ai for brain imaging and brain network construction,https://pureportal.coventry.ac.uk/en/publications/generative-ai-for-brain-imaging-and-brain-network-construction-ge,not available,5 Sept 2023,"['Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
gene regulatory network inference through link prediction using graph neural network,https://pureportal.coventry.ac.uk/en/publications/gene-regulatory-network-inference-through-link-prediction-using-g,"Gene Regulatory Networks (GRNs) depict the causal regulatory interactions between transcription factors (TFs) and their target genes [2], where TFs are proteins that regulate gene transcription...",19 Jan 2023,"['Sivasharmini Ganeshamoorthy, https://pureportal.coventry.ac.uk/en/persons/sivasharmini-ganeshamoorthy', 'Laura Roden, https://pureportal.coventry.ac.uk/en/persons/laura-roden', 'Dominik Klepl, https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
hydro-morphodynamic modelling of mangroves imposed by tidal waves using finite element discontinuous galerkin method,https://pureportal.coventry.ac.uk/en/publications/hydro-morphodynamic-modelling-of-mangroves-imposed-by-tidal-waves,Modelling the hydro-morphodynamics of mangrove environments is key for implementing successful protection and restoration projects in a climatically vulnerable region...,21 Mar 2023,"['Majdi Fanous, https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', 'Jonathan M. Eden, https://pureportal.coventry.ac.uk/en/persons/jonathan-eden', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
imbalanced learning of remotely sensed data for bioenergy source identification in a forest in the wallacea region of indonesia,https://pureportal.coventry.ac.uk/en/publications/imbalanced-learning-of-remotely-sensed-data-for-bioenergy-source-,Remote sensing technologies have been increasingly crucial to support policy-makers in achieving their ecological strategies...,23 Oct 2023,"['Ibnu F. Kurniawan, https://pureportal.coventry.ac.uk/en/persons/ibnu-febry-kurniawan', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
"irish mormonism: reconciling identity in global mormonism, by hazel o’brien",https://pureportal.coventry.ac.uk/en/publications/irish-mormonism-reconciling-identity-in-global-mormonism-by-hazel,"Review of Irish Mormonism: Reconciling Identity in Global Mormonism, by HAZEL O’BRIEN Get access ArrowIrish Mormonism: Reconciling Identity in Global Mormonism, by HAZEL O’BRIENChicago:  University of Illinois Press,  2023,  209 pp...",23 Dec 2023,"['Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford']"
iterated resultants in cad,https://pureportal.coventry.ac.uk/en/publications/iterated-resultants-in-cad,Cylindrical Algebraic Decomposition (CAD) by projection and lifting requires many iterated univariate resultants...,15 Aug 2023,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
kd-net: continuous keystroke dynamics based human identification from rgb-d image sequences,https://pureportal.coventry.ac.uk/en/publications/kd-net-continuous-keystroke-dynamics-based-human-identification-f,Keystroke dynamics is a soft biometric based on the assumption that humans always type in uniquely characteristic manners...,10 Oct 2023,"['Pengpeng Hu, https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu']"
kernel-based nonlinear manifold learning for eeg-based functional connectivity analysis and channel selection with application to alzheimer's disease,https://pureportal.coventry.ac.uk/en/publications/kernel-based-nonlinear-manifold-learning-for-eeg-based-functional,"Dynamical, causal, and cross-frequency coupling analysis using the electroencephalogram (EEG) has gained significant attention for diagnosing and characterizing neurological disorders...",8 Jun 2023,"['Rajintha Gunawardena, https://pureportal.coventry.ac.uk/en/persons/raj-gunawardena', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
kernel-based nonlinear manifold learning for eeg functional connectivity analysis with application to alzheimer's disease,https://pureportal.coventry.ac.uk/en/publications/kernel-based-nonlinear-manifold-learning-for-eeg-functional-conne,"Dynamical, causal and cross-frequency coupling analysis using the EEG has received significant interest for the analysis and diagnosis of neurological disorders [1]–[3]...",19 Jan 2023,"['Shenal Rajintha Alexander Samarathunge Gunawardena, https://pureportal.coventry.ac.uk/en/persons/raj-gunawardena', 'F. He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
levelwise construction of a single cylindrical algebraic cell,https://pureportal.coventry.ac.uk/en/publications/levelwise-construction-of-a-single-cylindrical-algebraic-cell,Satisfiability modulo theories (SMT) solvers check the satisfiability of quantifier-free first-order logic formulae over different theories...,5 Dec 2023,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
leveraging physics-informed neural networks for efficient modelling of coastal ecosystems dynamics: a case study of sundarbans mangrove forest,https://pureportal.coventry.ac.uk/en/publications/leveraging-physics-informed-neural-networks-for-efficient-modelli,not available,29 Nov 2023,"['Majdi Fanous, https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', 'Jonathan Eden, https://pureportal.coventry.ac.uk/en/persons/jonathan-eden', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
measure4dhand: dynamic hand measurement extraction from 4d scans,https://pureportal.coventry.ac.uk/en/publications/measure4dhand-dynamic-hand-measurement-extraction-from-4d-scans,"Hand measurement is vital for hand-centric applications such as glove design, immobilization design, protective gear design, to name a few...",2023,"['Pengpeng Hu, https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
measuring local sensitivity in bayesian inference using a new class of metrics,https://pureportal.coventry.ac.uk/en/publications/measuring-local-sensitivity-in-bayesian-inference-using-a-new-cla,"The local sensitivity analysis is recognized for its computational simplicity, and potential use in multi-dimensional and complex problems...",16 Sept 2021,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
modeling intrinsic factors of inclusive engagement in citizen science: insights from the participants’ survey analysis of csi-cop,https://pureportal.coventry.ac.uk/en/publications/modeling-intrinsic-factors-of-inclusive-engagement-in-citizen-sci,Inclusive citizen science is an emerging research topic that has been extensively studied in recent years...,28 Nov 2023,"['Huma Shah, https://pureportal.coventry.ac.uk/en/persons/huma-shah', 'Jaimz Winter, https://pureportal.coventry.ac.uk/en/persons/jaimz-winter']"
